Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
8;"6,403124237";"22,09072203";"33,73425559";"33,24154028";"24,08318916";"5,656854249";"9,433981132";"11,18033989";"16,40121947";"14,4222051";"16,55294536";"5,385164807";4;"27,01851217";"26,92582404";"18,68154169";"16,2788206";"36,87817783";"39,11521443";"34,0147027";"32,89376841"
9;"12,16552506";"18,43908891";"37,53664876";50;"57,00877125";"12,16552506";"19,6468827";"38,32753579";"50,69516742";"16,55294536";"22,36067977";"41,10960958";"53,00943312";"30,14962686";"27,78488798";"32,20248438";"37,10795063";"44,01136217";"41,59326869";"37,12142239";"34,05877273"
10;"74,06078585";"44,28317965";"23,19482701";"16,4924225";"22,13594362";"41,43669871";"38,20994635";"33,9705755";"31,82766093";"48,10405388";"46,61544808";"34,6554469";"28,42534081";"54,08326913";"54,20332093";"44,20407221";"39,20459157";"59,20304046";"56,46237685";"49,24428901";"48,33218389"
15;"45,65084884";"75,21303079";"98,35141077";"119,8206994";"132,0340865";"100,1299156";"126,8739532";"118,5326959";"106,329676";"95,18928511";"111,4136437";"100,4041832";"89,37561189";"86,31338251";"99,86490875";"88,60022573";"74,65252842";"73,78346698";"85,14693183";"74,96665926";"64,03124237"
16;"41,61730409";61;"97,1699542";"122,6539849";"137,6154061";"100,5683847";"127,3891675";"133,0939518";"130,2497601";"85,51023331";"106,5692263";"107,8239306";"101,6710382";"70,11419257";"84,85281374";"83,52245207";"75,6439026";"58,6003413";"61,40032573";"56,32051136";"47,04253395"
16;6;"45,54119015";"67,26812024";"68,11754546";"61,03277808";"18,24828759";"10,29563014";"20,22374842";"29,15475947";15;"18,11077028";"2,236067977";"10,19803903";"45,09988914";"48,25971405";"30,2654919";"17,11724277";"70,25667228";"78,77182237";"65,37583651";"52,08646657"
17;"51,7880295";"98,41239759";"147,1767645";"179,5132307";"204,1200627";"155,5024116";"187,7578227";"192,0937271";"183,1420214";"138,09055";"166,0271062";"157,8131807";"143,199162";"125,399362";"150,1366045";"132,9661611";"113,039816";"118,5959527";"140,431478";"121,6305883";"97,80081799"
18;"51,7880295";"99,80981916";"149,8332406";"183,0682933";"208,2162338";"149,9066376";"184,4559568";"188,9576672";"181,8378398";131;"159,2011306";"150,3329638";"135,1480669";"115,5205609";"141,9894362";"124,5351356";"105,4751155";"107,3778376";"130,6330739";"114,6123903";"93,0376268"
18;"2,236067977";"2,236067977";"2,828427125";4;"6,708203932";2;"7,280109889";"2,236067977";"2,828427125";1;"2,236067977";"2,236067977";"4,472135955";2;"3,605551275";"5,385164807";"8,602325267";"3,605551275";3;"6,32455532";"8,062257748"
19;"94,64142856";"124,3382483";"155,724115";"186,3249849";"205,4117816";"156,3201842";"176,0113633";"184,133104";"179,6273921";"148,8623525";"180,3995565";"191,1570035";"187,5793166";"142,2743828";"171,1870322";"176,343415";"169,8528775";"132,3706916";"156,1569723";"164,5144371";"160,2529251"
20;"94,64142856";"125,3195914";"158,4550409";"189,066126";"209,0861067";"156,2049935";"173,0115603";"184,0978001";"183,3930206";"149,7531302";"179,5466513";"194,2498391";"194,3296169";"143,2654878";"172,3513853";"180,709712";"175,26266";"134,4953531";"160,5272563";"170,2997358";"170,3173508"
20;"5,099019514";13;"16,03121954";"17,02938637";"17,11724277";6;"2,236067977";2;"4,242640687";"1,414213562";"6,708203932";"3,16227766";2;"8,544003745";"13,60147051";"12,16552506";"9,055385138";"14,56021978";"22,8035085";"22,36067977";"21,21320344"
21;"73,33484847";"138,3220879";"199,1506967";"238,673417";"268,6931335";"197,5702407";"237,7751038";"250,1619475";"248,1632527";"175,1370892";"200,1049725";"208,1177551";"201,2063617";"145,8800877";"166,4602055";"173,0462366";"170,7512811";"118,6802427";"127,2831489";"135,014814";"136,3671515"
22;"310,716913";"339,3655846";"359,3104507";"376,8527564";"391,5226686";"327,2323334";"343,8618909";"359,6345367";"365,492818";"308,1850094";"322,2002483";"337,6684765";"339,9911764";"292,0770446";"307,2100259";"322,0139749";"324,163539";"284,2903445";"291,1580327";"303,1996042";"307,2783754"
22;"276,8122107";"269,6405014";"250,5773334";"236,2308193";"218,2842184";"227,8815482";"212,6405418";"207,2800039";"204,1200627";"228,0635876";"211,9669786";"206,3201396";"205,3606584";"230,2216323";"214,7580033";"209,0956719";"207,1834936";"234,6486736";"217,2487054";"209,990476";"204,318379"
22;"98,35141077";"152,1906699";"201,30077";"236,2117694";"264,3709515";"202,5561651";"234,6763729";"252,6420393";"262,0477056";"174,4133022";"200,2023976";"212,5299979";"215,6965461";"144,0312466";166;"182,3321146";"186,9358179";"112,2853508";"127,8827588";"145,5609838";"158,8080602"
23;"345,2491854";"360,0402755";"367,141662";"378,2591704";"390,4779123";"327,9649372";"318,7506863";"327,9054742";"338,1952099";"308,0211032";"303,7581275";"318,172909";"325,2137758";"296,3460815";"289,2766842";"303,4155566";"310,5173103";"290,4892425";"278,9928314";"290,0362046";"299,9083193"
