Hasil;0;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20
Frame;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R;;R
5;5;;15;;21,84032967;;22,47220505;;21,26029163;;25,63201124;;28,8444102;;32,69556545;;40,26164428;;18,35755975;;18,02775638;;37,10795063;;57,27128425;;11,18033989;;15,62049935;;33,83784863;;49,65883607;;5,099019514;;13,45362405;;23,34523506;;32,24903099
6;90,52071586;;115,4339638;;131,552271;;135,2072483;;131,4001522;;109,5536398;;130,3610371;;125,7060062;;112,7297654;;103,0970417;;130,9809146;;113,1105654;;93,26306879;;110,6345335;;136,5650028;;117,3413823;;99,92497185;;125,7179383;;142,6639408;;130,3610371;;113,7189518
8;5,099019514;;52,77309921;;76,53757247;;80,5294977;;90,68627239;;69,35416354;;68,26419266;;63,56099433;;61,22091146;;23,32380758;;11,18033989;;38,83297568;;79,69943538;;31,6227766;;53,00943312;;78,81624198;;105,6456341;;71,34423593;;98,00510191;;111,0180166;;122,6743657
9;49,01020302;;5;;43,96589587;;62,24146528;;72,09022125;;79,07591289;;108,240473;;118,9621789;;119,9208072;;75,00666637;;102,2399139;;97,12878049;;93,00537619;;83,35466394;;103,3102125;;81,4002457;;65,19202405;;102,6157883;;123,1665539;;114,2015762;;104,4461584
10;423,8973932;;467,041754;;495,6984971;;508,1613917;;512,2352975;;506,764245;;526,9079616;;530,3225434;;529,5224263;;480,8014143;;504,983168;;503,954363;;502,0478065;;450,9412379;;464,3974591;;453,6176804;;444,4198465;;417,3559632;;425,3774794;;421,5708719;;416,9232543
10;444,1463723;;448,2688925;;456,6683698;;468,7397999;;478,7692555;;484,979381;;503,150077;;500,6575676;;489,3311762;;484,1993391;;501,3790981;;493,4257796;;477,8807383;;478,0847205;;490,0622409;;478,3231126;;463,061551;;468,018162;;478,0847205;;470,5103612;;461,9978355
11;440,3203379;;444,370341;;452,5980557;;464,9440827;;477,8974785;;479,5299782;;495,1545213;;492,5738523;;483,1438709;;480,1301907;;494,8141065;;486,8695924;;471,9163061;;474,5039515;;484,979381;;472,704982;;456,9463864;;466,691547;;473,1595925;;466,4697203;;456,6158123
11;465,3654478;;473,1141511;;482,3121396;;491,4275125;;497,5861734;;539,0593659;;565,7958996;;580,0732712;;591,4270876;;537,2755345;;529,1200242;;503,1908187;;481,1694088;;517,9314626;;492,40329;;463,4414742;;441,4306288;;491,7082468;;468,4709169;;450,0055555;;434,7712042
13;6,08276253;;10,04987562;;13,92838828;;14,56021978;;19,92485885;;8,246211251;;9,219544457;;10,19803903;;11;;10;;10,77032961;;7,280109889;;9,219544457;;12,16552506;;13,03840481;;10,19803903;;6,08276253;;12,16552506;;12,04159458;;12,04159458;;10,44030651
14;4,242640687;;3,605551275;;4,242640687;;3;;4,123105626;;4,472135955;;5,099019514;;8,062257748;;9;;5,385164807;;5,830951895;;9,433981132;;11,40175425;;5,099019514;;3,605551275;;3;;4;;5,099019514;;4,123105626;;4,472135955;;5
15;3;;2,828427125;;2,236067977;;2,828427125;;0;;2,236067977;;3,16227766;;1;;2,236067977;;1;;3;;1;;3,605551275;;1;;5,099019514;;5;;4;;1;;4;;4,123105626;;3,605551275
16;4,123105626;;4,472135955;;5,656854249;;5,830951895;;7,071067812;;5,385164807;;3,16227766;;5;;8,062257748;;6,708203932;;5;;5,099019514;;6,708203932;;5,830951895;;5;;4,472135955;;3,16227766;;5,830951895;;5,099019514;;4,123105626;;2
17;5,656854249;;5;;5;;2,828427125;;3,16227766;;4,123105626;;4,123105626;;5;;5,830951895;;3;;4,123105626;;3,605551275;;3,16227766;;5,099019514;;3,16227766;;3,605551275;;4,472135955;;5;;4,123105626;;4,472135955;;4,472135955
